Date,Canada,AB,NL,MB,ON,QC,BC,SK,PEI,NB,NS
2020-03-04,30,,,,,,,,,,
2020-03-05,33,1,,,,,,,,,
2020-03-06,45,2,,,,,,,,,
2020-03-07,51,2,,,,,,,,,
2020-03-08,66,4,,,,,,,,,
2020-03-09,77,7,,,,,,,,,
2020-03-10,95,14,,,,,32,,,,
2020-03-11,110,19,,,,,39,,,,
2020-03-12,142,23,,,,,46,,,,
2020-03-13,198,29,,,,,53,1,,,
2020-03-14,257,39,,,,,64,2,,,
2020-03-15,339,56,,,,,64,3,,,
2020-03-16,415,74,1,7,172,41,73,6,1,6,5
2020-03-17,478,97,3,8,179,74,103,7,1,6,7
2020-03-18,657,97,3,15,215,94,186,8,1,11,12
2020-03-19,818,146,3,17,257,121,231,16,2,11,14
2020-03-20,862,146,3,17,257,121,271,20,2,11,14
2020-03-21,"1,085",195,4,17,318,139,348,26,2,11,15
2020-03-22,"1,328",226,6,19,377,181,424,44,2,17,21
2020-03-23,"1,469",259,9,20,425,219,424,52,3,17,28
2020-03-24,"2,088",301,24,20,503,628,427,66,3,17,41
2020-03-25,"2,792",358,35,21,588,"1,016",617,72,3,18,51
2020-03-26,"3,404",419,67,35,688,"1,342",659,86,5,18,68
2020-03-27,"4,046",486,82,36,858,"1,632",725,95,9,33,73
2020-03-28,"4,760",542,102,39,994,"2,024",792,104,11,45,90
2020-03-29,"5,655",621,120,64,"1,144","2,498",884,134,11,51,110
2020-03-30,"6,320",661,135,72,"1,355","2,840",884,156,11,66,122
2020-03-31,"7,448",690,148,96,"1,706","3,430",970,176,18,68,127
2020-04-01,"8,591",754,152,103,"1,966","4,162","1,013",184,21,70,147
2020-04-02,"9,731",871,175,127,"2,392","4,611","1,066",193,21,81,173
2020-04-03,"11,284",969,183,167,"2,793","5,518","1,121",206,22,91,193
2020-04-04,"12,949","1,075",195,182,"3,630","6,101","1,174",220,22,91,236
2020-04-05,"14,400","1,181",203,194,"3,630","6,997","1,203",231,22,98,236
2020-04-06,"15,940","1,250",217,203,"4,466","7,944","1,203",249,22,101,262
2020-04-07,"16,667","1,348",226,204,"4,347","8,580","1,266",253,22,103,293
2020-04-08,"17,897","1,373",228,217,"4,726","9,340","1,291",260,22,105,310
2020-04-09,"19,290","1,423",232,221,"5,276","10,031","1,336",271,25,108,342
2020-04-10,"20,765","1,451",236,224,"5,759","10,912","1,370",278,25,111,373
2020-04-11,"22,148","1,500",239,230,"6,237","11,677","1,410",285,25,112,407
2020-04-12,"24,299","1,648",242,242,"7,049","12,846","1,445",298,25,114,445
2020-04-13,"24,380","1,648",242,242,"7,049","12,846","1,445",298,25,114,445
2020-04-14,"25,680","1,732",244,246,"7,470","13,557","1,490",300,25,116,474
2020-04-15,"28,205","1,870",247,246,"8,447","14,860","1,527",301,25,117,549
2020-04-16,"28,379","1,996",247,246,"8,447","14,860","1,561",304,26,117,549
2020-04-17,"30,973","2,158",252,250,"9,828","15,857","1,575",305,26,117,579
2020-04-18,"32,857","2,397",256,250,"10,456","16,798","1,618",307,26,117,606
2020-04-19,"34,386","2,562",257,253,"11,013","17,521","1,647",313,26,118,649
2020-04-20,"36,039","2,803",257,253,"11,561","18,357","1,647",315,26,118,675
2020-04-22,"39,405","3,095",257,255,"12,178","20,216","1,724",320,26,118,737
